,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
112,Idi i smotri,(1985),142 min,8.3,****,"70,054",%^%^%^,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
113,Aliens,(1986),137 min,8.3,84        ,"685,616",$85.16M,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
114,Once Upon a Time in America,(1984),229 min,8.3,75        ,"333,668",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
115,Amadeus,(1984),160 min,8.3,88        ,"385,616",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
116,Scarface,(1983),170 min,8.3,65        ,"787,924",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
117,Star Wars: Episode VI - Return of the Jedi,(1983),131 min,8.3,58        ,"996,182",$309.13M,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
118,Das Boot,(1981),149 min,8.3,86        ,"242,597",$11.49M,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
119,Dersu Uzala,(1975),142 min,8.3,****,"26,216",%^%^%^,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.
120,The Sting,(1973),129 min,8.3,83        ,"252,589",$159.60M,Two grifters team up to pull off the ultimate con.
121,A Clockwork Orange,(1971),136 min,8.3,77        ,"793,268",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
122,2001: A Space Odyssey,(1968),149 min,8.3,84        ,"636,783",$56.95M,"The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world's greatest supercomputer."
123,Lawrence of Arabia,(1962),228 min,8.3,100        ,"282,094",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
124,The Apartment,(1960),125 min,8.3,94        ,"173,927",$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
125,North by Northwest,(1959),136 min,8.3,98        ,"315,131",$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
126,Vertigo,(1958),128 min,8.3,100        ,"386,241",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
127,Singin' in the Rain,(1952),103 min,8.3,99        ,"231,049",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
128,Ikiru,(1952),143 min,8.3,****,"74,671",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
129,Ladri di biciclette,(1948),89 min,8.3,****,"157,298",$0.33M,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
130,Double Indemnity,(1944),107 min,8.3,95        ,"151,344",$5.72M,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
131,Citizen Kane,(1941),119 min,8.3,100        ,"426,190",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
132,M - Eine Stadt sucht einen Mörder,(1931),117 min,8.3,****,"152,131",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
