,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
1735,The Quiet Man,(1952),129 min,7.8,85        ,"37,076",$10.55M,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
1736,The African Queen,(1951),105 min,7.8,91        ,"76,580",$0.54M,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
1737,Red River,(1948),133 min,7.8,****,"30,059",%^%^%^,"Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son."
1738,Key Largo,(1948),100 min,7.8,****,"39,409",%^%^%^,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other."
1739,To Have and Have Not,(1944),100 min,7.8,90        ,"33,335",%^%^%^,"During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer."
1740,Gaslight,(1944),114 min,7.8,****,"26,988",%^%^%^,"Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife insane."
1741,Shadow of a Doubt,(1943),108 min,7.8,94        ,"63,231",%^%^%^,"A teenage girl, overjoyed when her favorite uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities."
1742,The Lady Vanishes,(1938),96 min,7.8,98        ,"50,691",%^%^%^,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train."
1743,Bride of Frankenstein,(1935),75 min,7.8,95        ,"46,644",$4.36M,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate."
1744,Duck Soup,(1933),69 min,7.8,93        ,"59,062",%^%^%^,"Rufus T. Firefly is named the dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of his wealthy backer Mrs. Teasdale, contending with two inept spies who can't seem to keep straight which side they're on."
1745,Scarface,(1932),93 min,7.8,87        ,"27,095",%^%^%^,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
1746,Frankenstein,(1931),70 min,7.8,91        ,"69,765",%^%^%^,Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.
1747,The Mitchells vs the Machines,(2021),113 min,7.7,80        ,"80,250",%^%^%^,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope."
1748,Roma,(2018),135 min,7.7,96        ,"150,343",%^%^%^,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
1749,God's Own Country,(2017),104 min,7.7,85        ,"28,631",$0.34M,"Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path."
1750,Deadpool 2,(2018),119 min,7.7,66        ,"529,197",$324.59M,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
1751,Wind River,(2017),107 min,7.7,73        ,"229,772",$33.80M,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.
1752,Forushande,(2016),124 min,7.7,85        ,"57,086",$2.40M,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections."
1753,Get Out,(I) (2017),104 min,7.7,85        ,"540,364",$176.04M,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
1754,Mission: Impossible - Fallout,(2018),147 min,7.7,86        ,"311,776",$220.16M,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
1755,En man som heter Ove,(2015),116 min,7.7,70        ,"51,589",$3.36M,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
1756,What We Do in the Shadows,(2014),86 min,7.7,76        ,"172,174",$3.33M,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
1757,Omoide no Mânî,(2014),103 min,7.7,72        ,"37,261",$0.77M,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie."
1758,The Theory of Everything,(2014),123 min,7.7,71        ,"428,558",$35.89M,A look at the relationship between the famous physicist Stephen Hawking and his wife.
1759,Kingsman: The Secret Service,(2014),129 min,7.7,60        ,"623,941",$128.26M,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
1760,The Fault in Our Stars,(2014),126 min,7.7,69        ,"360,666",$124.87M,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
1761,Me and Earl and the Dying Girl,(2015),105 min,7.7,74        ,"128,134",$6.74M,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
1762,Birdman or (The Unexpected Virtue of Ignorance),(2014),119 min,7.7,87        ,"606,201",$42.34M,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
1763,Le passé,(2013),130 min,7.7,85        ,"47,707",$1.33M,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
1764,La vie d'Adèle,(2013),180 min,7.7,89        ,"146,107",$2.20M,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
1765,The Broken Circle Breakdown,(2012),111 min,7.7,70        ,"40,575",$0.18M,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
1766,Toy Story 4,(2019),100 min,7.7,84        ,"227,470",$434.04M,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
1767,Captain America: The Winter Soldier,(2014),136 min,7.7,70        ,"788,502",$259.77M,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
1768,Rockstar,(2011),159 min,7.7,****,"42,539",$0.99M,"Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer."
1769,Nebraska,(2013),115 min,7.7,87        ,"115,894",$17.65M,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize."
1770,Wreck-It Ralph,(2012),101 min,7.7,72        ,"400,385",$189.42M,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
1771,Le Petit Prince,(2015),108 min,7.7,70        ,"59,903",$1.34M,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
1772,Detachment,(2011),98 min,7.7,52        ,"81,658",$0.07M,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
1773,Midnight in Paris,(2011),94 min,7.7,81        ,"406,577",$56.82M,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
1774,Kokuhaku,(2010),106 min,7.7,****,"37,798",%^%^%^,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.
1775,The Lego Movie,(2014),100 min,7.7,83        ,"338,054",$257.76M,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
1776,Gravity,(2013),91 min,7.7,96        ,"797,763",$274.09M,Two astronauts work together to survive after an accident leaves them stranded in space.
1777,Star Trek Into Darkness,(2013),132 min,7.7,72        ,"474,544",$228.78M,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
1778,Beasts of No Nation,(2015),137 min,7.7,79        ,"78,529",$0.08M,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
1779,The Social Network,(2010),120 min,7.7,95        ,"662,421",$96.96M,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business."
1780,X: First Class,(2011),131 min,7.7,65        ,"667,778",$146.41M,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
1781,The Hangover,(2009),100 min,7.7,73        ,"750,002",$277.32M,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
1782,Silver Linings Playbook,(2012),122 min,7.7,81        ,"685,694",$132.09M,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
1783,Argo,(2012),120 min,7.7,86        ,"595,084",$136.03M,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
1784,(500) Days of Summer,(2009),95 min,7.7,76        ,"492,550",$32.39M,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her."
1785,Harry Potter and the Deathly Hallows: Part 1,(2010),146 min,7.7,65        ,"510,374",$295.98M,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
1786,Gake no ue no Ponyo,(2008),101 min,7.7,86        ,"135,097",$15.09M,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
1787,Frost/Nixon,(2008),122 min,7.7,80        ,"106,308",$18.59M,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.
1788,Papurika,(2006),90 min,7.7,81        ,"78,034",$0.88M,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
1789,Changeling,(2008),141 min,7.7,63        ,"248,327",$35.74M,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.
1790,Flipped,(I) (2010),90 min,7.7,45        ,"87,257",$1.75M,Two eighth-graders start to have feelings for each other despite being total opposites.
1791,Toki o kakeru shôjo,(2006),98 min,7.7,****,"63,785",%^%^%^,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
1792,This Is England,(2006),101 min,7.7,86        ,"119,558",$0.33M,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
1793,Ex Machina,(2014),108 min,7.7,78        ,"509,766",$25.44M,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
1794,Efter brylluppet,(2006),120 min,7.7,78        ,"33,830",$0.41M,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret."
1795,The Last King of Scotland,(2006),123 min,7.7,74        ,"182,067",$17.61M,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.
1796,Zodiac,(2007),157 min,7.7,78        ,"505,640",$33.08M,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
1797,Lucky Number Slevin,(2006),110 min,7.7,53        ,"307,289",$22.49M,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
1798,Joyeux Noël,(2005),116 min,7.7,70        ,"28,952",$1.05M,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life."
1799,Control,(2007),122 min,7.7,78        ,"63,877",$0.87M,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23."
1800,Tangled,(2010),100 min,7.7,71        ,"427,805",$200.82M,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
1801,Zwartboek,(2006),145 min,7.7,71        ,"75,199",$4.40M,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
1802,Brokeback Mountain,(2005),134 min,7.7,87        ,"342,026",$83.04M,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
1803,3:10 to Yuma,(2007),122 min,7.7,76        ,"300,358",$53.61M,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
1804,Crash,(I) (2004),112 min,7.7,66        ,"428,924",$54.58M,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
1805,Kung fu,(2004),99 min,7.7,78        ,"134,207",$17.11M,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
1806,The Bourne Supremacy,(2004),108 min,7.7,73        ,"449,912",$176.24M,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
1807,The Machinist,(2004),101 min,7.7,61        ,"374,318",$1.08M,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
1808,Ray,(I) (2004),152 min,7.7,73        ,"143,880",$75.33M,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
1809,Lost in Translation,(2003),102 min,7.7,89        ,"436,774",$44.59M,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
1810,Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        ,"582,373",$290.01M,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
1811,Man on Fire,(2004),146 min,7.7,47        ,"348,680",$77.91M,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
1812,Coraline,(2009),100 min,7.7,80        ,"212,757",$75.29M,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
1813,The Last Samurai,(2003),154 min,7.7,55        ,"419,390",$111.11M,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
1814,The Magdalene Sisters,(2002),114 min,7.7,83        ,"26,821",$4.89M,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.
1815,Finding Neverland,(2004),106 min,7.7,67        ,"203,135",$51.68M,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
1816,Good Bye Lenin!,(2003),121 min,7.7,68        ,"142,785",$4.06M,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
1817,In America,(2002),105 min,7.7,76        ,"42,596",$15.54M,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
1818,Adaptation.,(2002),115 min,7.7,83        ,"187,287",$22.25M,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
1819,Black Hawk Down,(2001),144 min,7.7,74        ,"380,757",$108.64M,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis."
1820,Road to Perdition,(2002),117 min,7.7,72        ,"259,206",$104.45M,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
1821,Das Experiment,(2001),120 min,7.7,60        ,"92,731",$0.14M,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
1822,Billy Elliot,(2000),110 min,7.7,74        ,"131,494",$22.00M,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
1823,Hedwig and the Angry Inch,(2001),95 min,7.7,85        ,"34,780",$3.03M,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
1824,The Count of Monte Cristo,(2002),131 min,7.7,61        ,"134,076",$54.23M,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
1825,Ocean's Eleven,(2001),116 min,7.7,74        ,"544,792",$183.42M,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
1826,Vampire Hunter D: Bloodlust,(2000),103 min,7.7,62        ,"30,857",$0.15M,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back."
1827,"O Brother, Where Art Thou?",(2000),107 min,7.7,69        ,"300,456",$45.51M,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
1828,Interstate 60: Episodes of the Road,(2002),116 min,7.7,****,"31,566",%^%^%^,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl."
1829,"South Park: Bigger, Longer & Uncut",(1999),81 min,7.7,73        ,"199,598",$52.04M,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
1830,Office Space,(1999),89 min,7.7,68        ,"254,708",$10.82M,Three company workers who hate their jobs decide to rebel against their greedy boss.
1831,Happiness,(1998),134 min,7.7,81        ,"68,796",$2.81M,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection."
1832,The Boondock Saints,(1999),108 min,7.7,44        ,"234,205",$0.03M,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
1833,Training Day,(2001),122 min,7.7,69        ,"413,916",$76.63M,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
1834,Lola rennt,(1998),81 min,7.7,77        ,"194,806",$7.27M,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
1835,Rushmore,(1998),93 min,7.7,86        ,"178,604",$17.11M,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta."
1836,Abre los ojos,(1997),119 min,7.7,****,"67,798",$0.37M,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
1837,Mulan,(1998),88 min,7.7,71        ,"271,818",$120.62M,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
1838,Being John Malkovich,(1999),113 min,7.7,90        ,"325,285",$22.86M,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
1839,As Good as It Gets,(1997),139 min,7.7,67        ,"289,630",$148.48M,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
1840,The Game,(1997),129 min,7.7,61        ,"373,807",$48.32M,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
1841,The Fifth Element,(1997),126 min,7.7,52        ,"453,894",$63.54M,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
1842,Le dîner de cons,(1998),80 min,7.7,73        ,"40,368",$4.07M,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise."
1843,Donnie Brasco,(1997),127 min,7.7,76        ,"293,887",$41.91M,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
1844,Chun gwong cha sit,(1997),96 min,7.7,70        ,"26,473",$0.19M,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.
1845,Shine,(1996),105 min,7.7,87        ,"53,216",$35.81M,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim."
1846,Primal Fear,(1996),129 min,7.7,47        ,"202,933",$56.12M,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
1847,Hamlet,(1996),242 min,7.7,****,"37,338",$4.41M,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
1848,Sense and Sensibility,(1995),136 min,7.7,84        ,"110,592",$43.18M,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
1849,A Little Princess,(1995),97 min,7.7,83        ,"33,695",$10.02M,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.
1850,Do lok tin si,(1995),99 min,7.7,71        ,"34,159",%^%^%^,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner."
1851,Il postino,(1994),108 min,7.7,81        ,"35,413",$21.85M,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
1852,Clerks,(1994),92 min,7.7,70        ,"217,504",$3.15M,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
1853,What's Eating Gilbert Grape,(1993),118 min,7.7,73        ,"227,458",$9.17M,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
1854,Short Cuts,(1993),188 min,7.7,79        ,"43,944",$6.11M,The day-to-day lives of several suburban Los Angeles residents.
1855,Philadelphia,(1993),125 min,7.7,66        ,"233,840",$77.32M,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
1856,The Muppet Christmas Carol,(1992),85 min,7.7,64        ,"53,270",$27.28M,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.
1857,Malcolm X,(1992),202 min,7.7,73        ,"91,251",$48.17M,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam."
1858,The Last of the Mohicans,(1992),112 min,7.7,76        ,"161,528",$75.51M,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
1859,Kurenai no buta,(1992),94 min,7.7,83        ,"84,465",%^%^%^,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
1860,Glengarry Glen Ross,(1992),100 min,7.7,82        ,"101,725",$10.73M,An examination of the machinations behind the scenes at a real estate office.
1861,A Few Good Men,(1992),138 min,7.7,62        ,"250,004",$141.34M,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
1862,Night on Earth,(1991),129 min,7.7,68        ,"58,522",$2.02M,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
1863,Fried Green Tomatoes,(1991),130 min,7.7,64        ,"71,672",$82.42M,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.
1864,Barton Fink,(1991),116 min,7.7,69        ,"117,889",$6.15M,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.
1865,Miller's Crossing,(1990),115 min,7.7,66        ,"131,859",$5.08M,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
1866,Who Framed Roger Rabbit,(1988),104 min,7.7,83        ,"192,736",$156.45M,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
1867,Spoorloos,(1988),107 min,7.7,****,"37,347",%^%^%^,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
1868,The Last Emperor,(1987),163 min,7.7,76        ,"99,475",$43.98M,The story of the final Emperor of China.
1869,Evil Dead II,(1987),84 min,7.7,72        ,"156,630",$5.92M,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
1870,Empire of the Sun,(1987),153 min,7.7,62        ,"121,320",$22.24M,A young English boy struggles to survive under Japanese occupation of China during World War II.
1871,Der Name der Rose,(1986),130 min,7.7,54        ,"105,888",$7.15M,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
1872,Down by Law,(1986),107 min,7.7,75        ,"50,301",$1.44M,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
1873,Blue Velvet,(1986),120 min,7.7,76        ,"191,110",$8.55M,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
1874,The Purple Rose of Cairo,(1985),82 min,7.7,75        ,"50,359",$10.63M,"In New Jersey in 1935, a movie character walks off the screen and into the real world."
1875,After Hours,(I) (1985),97 min,7.7,90        ,"65,772",$10.60M,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.
1876,Zelig,(1983),79 min,7.7,****,"41,368",$11.80M,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
1877,The Verdict,(1982),129 min,7.7,77        ,"38,522",$54.00M,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
1878,Star Trek II: The Wrath of Khan,(1982),113 min,7.7,67        ,"117,485",$78.91M,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
1879,First Blood,(1982),93 min,7.7,61        ,"240,540",$47.21M,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
1880,Ordinary People,(1980),124 min,7.7,86        ,"50,016",$54.80M,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son."
1881,Airplane!,(1980),88 min,7.7,78        ,"226,938",$83.40M,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
1882,Rupan sansei: Kariosutoro no shiro,(1979),100 min,7.7,72        ,"29,385",%^%^%^,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to."
1883,Halloween,(1978),91 min,7.7,87        ,"260,075",$47.00M,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
1884,Nashville,(1975),160 min,7.7,96        ,"25,474",$14.82M,"Over the course of a few hectic days, numerous interrelated people prepare for a political convention."
1885,Love and Death,(1975),85 min,7.7,89        ,"37,698",%^%^%^,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon."
1886,The Taking of Pelham One Two Three,(1974),104 min,7.7,68        ,"29,437",$2.49M,"Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?"
1887,Blazing Saddles,(1974),93 min,7.7,73        ,"133,261",$119.50M,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
